Rank,Player,College,Games,Minitues Per Game,Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Points Per Game,Year
1478,C.J. Carr,SIUE,28,26.2,2.7,3.1,1.0,0.1,0.1,2016
1479,Raheem Watts,USM,28,22.1,3.1,0.5,0.5,0.1,0.1,2016
1480,Dreon Barlett,CSUS,30,26.2,3.2,0.8,0.5,0.3,0.3,2016
1481,Casey Teson,EIU,30,28.3,2.3,0.7,0.5,0.1,0.1,2016
1482,Trey Norris,USD,32,29.7,2.3,4.3,1.2,0.1,0.1,2016
1483,Duke Ethridge,UTC,32,16.1,3.8,0.3,0.4,0.5,0.5,2016
1484,Jordan Butler,NSU,34,26.6,6.6,0.9,0.4,2.1,2.1,2016
1485,T.J. Holyfield,SFA,34,19.9,4.2,1.1,0.7,1.5,1.5,2016
1486,Dominique Collier,CU,34,22.5,2.1,2.7,1.1,0.1,0.1,2016
1487,Michael Finke,U of I,33,20.3,3.7,1.0,0.1,0.2,0.2,2016
1488,"Kerwin Roach, Jr.",UT,33,18.0,2.9,1.2,0.9,0.3,0.3,2016
1489,Khaliq Spicer,KSU,32,22.5,6.2,0.5,0.3,1.6,1.6,2016
1490,Zak Showalter,UW,35,31.4,3.8,2.2,1.0,0.2,0.2,2016
1491,Jackson Trapp,FAU,33,28.1,2.7,1.0,0.4,0.4,0.4,2016
1492,Marcus Johnson,SU,33,23.8,2.3,2.0,1.0,0.0,0.0,2016
1493,Ryan Rosburg,MU,31,19.8,3.8,0.5,0.3,0.5,0.5,2016
1494,Marcus Roper,TSU,31,18.4,1.6,0.5,0.6,0.2,0.2,2016
1495,Rashann London,DREX,31,30.1,2.3,2.3,0.4,0.0,0.0,2016
1496,Michael Zeno,UNO,29,18.7,4.8,0.9,1.0,0.6,0.6,2016
1497,Cortez Seales,UND,30,20.5,2.1,1.2,0.6,0.3,0.3,2016
1498,Mustafa Jones,CCSU,28,20.7,3.8,1.0,0.6,0.8,0.8,2016
1499,Dimi Cook,SELU,28,19.2,1.4,1.2,0.8,0.0,0.0,2016
1500,Deyonta Davis,MSU,35,18.6,5.5,0.7,0.3,1.8,1.8,2016
